typeWord,association
sustainable,abgasreinigung
bioinspired,aerodynamik
sustainable,akku wechselbar
sustainable,aktivismus
sustainable,aktivisten
bioinspired,analytisch
bioinspired,"apps, die einen fiktiven baum wachsen lassen, wenn man sein handy nicht benutzt. also eine belohnung für niedrige bildschirmzeit."
bioinspired,aquariums
bioinspired,architektur
sustainable,atomkraft
sustainable,atomkraft
sustainable,atomkraft
sustainable,atomkraftwerke
sustainable,atomkraftwerke
bioinspired,auch minimalistische eigenschaften
bioinspired,aus natürlichen stoffen
bioinspired,austausch
bioinspired,autos
sustainable,balkon mit solarpanel
bioinspired,baum
sustainable,baumwollkleidung
sustainable,bio produkte
sustainable,bio-tonne
sustainable,biodegradable packaging – replacing plastic with eco-friendly materials
sustainable,biolandwirtschaft
sustainable,biologisch abbaubar
sustainable,biologisch abbaubare kunststoffe
bioinspired,biomimetik
bioinspired,bionik
bioinspired,bionik
bioinspired,bionik
bioinspired,bionik
bioinspired,bioplastik
bioinspired,bioroctechnologie
bioinspired,blätter
bioinspired,boote
bioinspired,bullet train design – modeled after a kingfisher’s beak
bioinspired,bushcraft
sustainable,bäume
bioinspired,camping
sustainable,co2-frei
sustainable,dauerhaft
bioinspired,design
sustainable,design
bioinspired,direktes interface
bioinspired,drohnen
bioinspired,drone flight patterns – mimicking the flight of birds or insects
bioinspired,duschgel
bioinspired,dämme
bioinspired,dämme
sustainable,dämmung
sustainable,e autos
sustainable,e-auto
sustainable,e-auto
sustainable,e-automobiltät
sustainable,e-autos
sustainable,e-autos
sustainable,e-fahrrad
bioinspired,ebene mit windrädern
sustainable,ebikes
bioinspired,echoortung (auto)
sustainable,effizient
bioinspired,effizienz
bioinspired,einfach
sustainable,electric vehicles (evs) – reducing carbon emissions
sustainable,elekrofahrzeuge
sustainable,elektrisch autos
sustainable,elektrische fahrzeuge
sustainable,elektrizität
sustainable,elektro autsos
sustainable,elektro-autos
sustainable,elektroauto
sustainable,elektroauto
sustainable,elektroautos
sustainable,elektroautos
sustainable,elektroautos
sustainable,elektrofahrrad
sustainable,elektromobilität
sustainable,elektromobilität
bioinspired,energie
sustainable,energiesparende geräte
sustainable,energiewende
sustainable,erde
sustainable,erdwärme
sustainable,erneuerbare energie(n)
sustainable,erneuerbare energien
sustainable,erneuerbare energien
bioinspired,erneuerbare ennergie
sustainable,fahrrad
sustainable,fahrrad
sustainable,fairphone
bioinspired,fallschirm
bioinspired,fallschirm
bioinspired,fallschirme
bioinspired,farbwechselnde kleidung
bioinspired,features
bioinspired,fliegen
bioinspired,fliegen
bioinspired,flug
bioinspired,flugsysteme
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeug
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flugzeuge
bioinspired,flügelform von flugzeugen
sustainable,forschung
bioinspired,fortschritt
bioinspired,frei
bioinspired,frische luft
bioinspired,froh
bioinspired,fundament für hochhäuser
bioinspired,gecko-hafttechnologie
sustainable,generationsgerechtigkeit
bioinspired,gentechnik
sustainable,geothermie
sustainable,geothermie
sustainable,geringer stromverbrauch
bioinspired,geringer ökologischer fußabdruck
sustainable,gesund
sustainable,gesundheits-apps
bioinspired,grün
sustainable,grün
bioinspired,grün
bioinspired,grün
bioinspired,grün
sustainable,grün
bioinspired,grün
sustainable,grün
bioinspired,grün
bioinspired,grün
bioinspired,grün
sustainable,grün energie
sustainable,gründächer
sustainable,grüne energie
bioinspired,grüne farben
sustainable,grüner wasserstoff
sustainable,gut
sustainable,gut
bioinspired,heizung
bioinspired,helicopter
bioinspired,helikopter
bioinspired,hitzeschutz
bioinspired,hochwertig
bioinspired,holz
bioinspired,holzmöbel
bioinspired,holzspielzeug
bioinspired,hubschrauber
bioinspired,hund
sustainable,hydroponik
bioinspired,hübcsh
bioinspired,ich habe keine weitere assoziation
bioinspired,ich habe keine weitere assoziation
bioinspired,ich habe keine weitere assoziation
